document_id,case_id,source_entity_ids,source_relationship_ids,text_preview
M4-DOC-CASE-01591-1,CASE-01591,CASE-01591,,This file belongs to case CASE-01591. Case Descrip...
M4-DOC-CASE-01591-2,CASE-01591,CASE-01591;PER-028447;PER-028450,,This file belongs to case CASE-01591. Case Descrip...
M4-DOC-CASE-01591-3,CASE-01591,ACC-005115;ACC-013737;CASE-01591;ORG-00436;ORG-00757;ORG-01646;ORG-01798;ORG-02043;PER-028447;PER-028450,12ed67d6-cfe1-4747-9323-19ccbeb1cf3c;98b4d509-b444-4c80-afd3-a0f24eda24cc;c3a3d478-ff1e-4db4-88c0-242a99bb5b39;e9676c17-a451-4b59-a4c5-a6814323089a;f2285161-7bc2-414f-bb04-68cecaf66213,This file belongs to case CASE-01591. Case Descrip...
M4-DOC-CASE-01591-4,CASE-01591,CASE-01591;DEV-017243;DEV-019294;ORG-00436;ORG-00757;ORG-01646;ORG-01798;ORG-02043;PER-028447;PER-028450,12ed67d6-cfe1-4747-9323-19ccbeb1cf3c;98b4d509-b444-4c80-afd3-a0f24eda24cc;c3a3d478-ff1e-4db4-88c0-242a99bb5b39;e9676c17-a451-4b59-a4c5-a6814323089a;f2285161-7bc2-414f-bb04-68cecaf66213,This file belongs to case CASE-01591. Case Descrip...
M4-DOC-CASE-01591-5,CASE-01591,CASE-01591;VEH-000697;VEH-012683,,This file belongs to case CASE-01591. Case Descrip...
M4-DOC-CASE-00394-1,CASE-00394,CASE-00394,,This file belongs to case CASE-00394. Case Descrip...
M4-DOC-CASE-00394-2,CASE-00394,CASE-00394;PER-007236;PER-007245,,This file belongs to case CASE-00394. Case Descrip...
M4-DOC-CASE-00394-3,CASE-00394,ACC-018595;ACC-029579;CASE-00394;ORG-00084;ORG-00500;ORG-01060;ORG-01328;ORG-04516;PER-007236;PER-007245,059bded5-a030-4102-a417-7146a4863ad9;314b0f52-62bc-4597-8c1a-da08d38e4cad;6d22708f-badd-4e6b-8d0a-a7cdacf8958e;8a4ff1f7-c722-4948-9820-20ca09356967;fd5465bf-fed4-422e-9020-caa831ee9e7c,This file belongs to case CASE-00394. Case Descrip...
M4-DOC-CASE-00394-4,CASE-00394,CASE-00394;DEV-021119;DEV-032975;ORG-00084;ORG-00500;ORG-01060;ORG-01328;ORG-04516;PER-007236;PER-007245,059bded5-a030-4102-a417-7146a4863ad9;314b0f52-62bc-4597-8c1a-da08d38e4cad;6d22708f-badd-4e6b-8d0a-a7cdacf8958e;8a4ff1f7-c722-4948-9820-20ca09356967;fd5465bf-fed4-422e-9020-caa831ee9e7c,This file belongs to case CASE-00394. Case Descrip...
M4-DOC-CASE-00394-5,CASE-00394,CASE-00394;VEH-007245;VEH-010854,,This file belongs to case CASE-00394. Case Descrip...
M4-DOC-CASE-01744-1,CASE-01744,CASE-01744,,This file belongs to case CASE-01744. Case Descrip...
M4-DOC-CASE-01744-2,CASE-01744,CASE-01744;PER-031212;PER-031219,,This file belongs to case CASE-01744. Case Descrip...
M4-DOC-CASE-01744-3,CASE-01744,ACC-008869;ACC-018803;CASE-01744;ORG-00435;ORG-01543;ORG-02104;ORG-02552;ORG-03060;ORG-03379;ORG-03525;PER-031212;PER-031219,2205c110-80c2-41d6-9aaa-2f3892a1d022;6aca0a2f-3e0d-4748-a131-2a3ddf9b0983;77b5719b-01f7-4917-8759-442cbb06ae83;7bcf1690-154c-47d8-a383-588d565cbb40;b540f46a-cefe-4e65-9d7f-e68a7bd99136;d00d62cf-76bb-4dae-bcc4-f693abc7404f;f2b3880d-59ae-4c35-9acf-dfce2be20af8,This file belongs to case CASE-01744. Case Descrip...
M4-DOC-CASE-01744-4,CASE-01744,CASE-01744;DEV-007737;DEV-034639;ORG-00435;ORG-01543;ORG-02104;ORG-02552;ORG-03060;ORG-03379;ORG-03525;PER-031212;PER-031219,2205c110-80c2-41d6-9aaa-2f3892a1d022;6aca0a2f-3e0d-4748-a131-2a3ddf9b0983;77b5719b-01f7-4917-8759-442cbb06ae83;7bcf1690-154c-47d8-a383-588d565cbb40;b540f46a-cefe-4e65-9d7f-e68a7bd99136;d00d62cf-76bb-4dae-bcc4-f693abc7404f;f2b3880d-59ae-4c35-9acf-dfce2be20af8,This file belongs to case CASE-01744. Case Descrip...
M4-DOC-CASE-01744-5,CASE-01744,CASE-01744;VEH-001212;VEH-001219,,This file belongs to case CASE-01744. Case Descrip...
M4-DOC-CASE-00184-1,CASE-00184,CASE-00184,,This file belongs to case CASE-00184. Case Descrip...
M4-DOC-CASE-00184-2,CASE-00184,CASE-00184;PER-003233;PER-003235,,This file belongs to case CASE-00184. Case Descrip...
M4-DOC-CASE-00184-3,CASE-00184,ACC-014788;ACC-029574;CASE-00184;ORG-00423;ORG-01585;ORG-03081;PER-003233;PER-003235,38f4e84c-e4ed-4718-917c-ae6c3b98a750;894bc0e3-e1bb-436b-9981-7865a16a3c08;fd6c33cd-35bc-4cb3-a5ef-46f21da9960d,This file belongs to case CASE-00184. Case Descrip...
M4-DOC-CASE-00184-4,CASE-00184,CASE-00184;DEV-010911;DEV-030844;ORG-00423;ORG-01585;ORG-03081;PER-003233;PER-003235,38f4e84c-e4ed-4718-917c-ae6c3b98a750;894bc0e3-e1bb-436b-9981-7865a16a3c08;fd6c33cd-35bc-4cb3-a5ef-46f21da9960d,This file belongs to case CASE-00184. Case Descrip...
M4-DOC-CASE-00184-5,CASE-00184,CASE-00184;VEH-001604;VEH-003233,,This file belongs to case CASE-00184. Case Descrip...
M4-DOC-CASE-00529-1,CASE-00529,CASE-00529,,This file belongs to case CASE-00529. Case Descrip...
M4-DOC-CASE-00529-2,CASE-00529,CASE-00529;PER-009628;PER-009651,,This file belongs to case CASE-00529. Case Descrip...
M4-DOC-CASE-00529-3,CASE-00529,ACC-003139;ACC-019098;CASE-00529;ORG-02726;ORG-03340;PER-009628;PER-009651,1b176a2f-1f83-4202-bb1c-ba0754091e00;fd8f4ec7-2f2f-4214-9a9f-c4ea95b5a4e6,This file belongs to case CASE-00529. Case Descrip...
M4-DOC-CASE-00529-4,CASE-00529,CASE-00529;DEV-024370;DEV-030382;ORG-02726;ORG-03340;PER-009628;PER-009651,1b176a2f-1f83-4202-bb1c-ba0754091e00;fd8f4ec7-2f2f-4214-9a9f-c4ea95b5a4e6,This file belongs to case CASE-00529. Case Descrip...
M4-DOC-CASE-00529-5,CASE-00529,CASE-00529;VEH-000456;VEH-009651,,This file belongs to case CASE-00529. Case Descrip...
M4-DOC-CASE-00959-1,CASE-00959,CASE-00959,,This file belongs to case CASE-00959. Case Descrip...
M4-DOC-CASE-00959-2,CASE-00959,CASE-00959;PER-017223;PER-017239,,This file belongs to case CASE-00959. Case Descrip...
M4-DOC-CASE-00959-3,CASE-00959,ACC-016837;ACC-025077;CASE-00959;ORG-01887;ORG-04439;PER-017223;PER-017239,2c308115-3589-499d-a729-e4f1632db5f4;2e5f290c-922d-494e-acc1-b90a3571d6fe,This file belongs to case CASE-00959. Case Descrip...
M4-DOC-CASE-00959-4,CASE-00959,CASE-00959;DEV-002788;DEV-014174;ORG-01887;ORG-04439;PER-017223;PER-017239,2c308115-3589-499d-a729-e4f1632db5f4;2e5f290c-922d-494e-acc1-b90a3571d6fe,This file belongs to case CASE-00959. Case Descrip...
M4-DOC-CASE-00959-5,CASE-00959,CASE-00959;VEH-002239;VEH-005423,,This file belongs to case CASE-00959. Case Descrip...
M4-DOC-CASE-01084-1,CASE-01084,CASE-01084,,This file belongs to case CASE-01084. Case Descrip...
M4-DOC-CASE-01084-2,CASE-01084,CASE-01084;PER-019374;PER-019375,,This file belongs to case CASE-01084. Case Descrip...
M4-DOC-CASE-01084-3,CASE-01084,ACC-001760;ACC-007700;CASE-01084;ORG-00912;ORG-01640;ORG-02262;ORG-04508;PER-019374;PER-019375,177b0d60-8e08-43b5-9792-74c01d249f3b;1fe2fd43-189b-4ef9-94f0-438d59311536;6e0d88db-b084-4b27-98a3-fef311e66b17;b02cc62b-c893-4da8-85f5-de09a4c08101,This file belongs to case CASE-01084. Case Descrip...
M4-DOC-CASE-01084-4,CASE-01084,CASE-01084;DEV-001020;DEV-021890;ORG-00912;ORG-01640;ORG-02262;ORG-04508;PER-019374;PER-019375,177b0d60-8e08-43b5-9792-74c01d249f3b;1fe2fd43-189b-4ef9-94f0-438d59311536;6e0d88db-b084-4b27-98a3-fef311e66b17;b02cc62b-c893-4da8-85f5-de09a4c08101,This file belongs to case CASE-01084. Case Descrip...
M4-DOC-CASE-01084-5,CASE-01084,CASE-01084;VEH-004375;VEH-005538,,This file belongs to case CASE-01084. Case Descrip...
M4-DOC-CASE-01664-1,CASE-01664,CASE-01664,,This file belongs to case CASE-01664. Case Descrip...
M4-DOC-CASE-01664-2,CASE-01664,CASE-01664;PER-029521;PER-029525,,This file belongs to case CASE-01664. Case Descrip...
M4-DOC-CASE-01664-3,CASE-01664,ACC-007214;ACC-028214;CASE-01664;ORG-01940;ORG-03196;PER-029521;PER-029525,1d434eff-8420-46ed-b2a0-b57926fb6574;f6863015-0444-4206-8ebb-953273badc68,This file belongs to case CASE-01664. Case Descrip...
M4-DOC-CASE-01664-4,CASE-01664,CASE-01664;DEV-026218;DEV-027427;ORG-01940;ORG-03196;PER-029521;PER-029525,1d434eff-8420-46ed-b2a0-b57926fb6574;f6863015-0444-4206-8ebb-953273badc68,This file belongs to case CASE-01664. Case Descrip...
M4-DOC-CASE-01664-5,CASE-01664,CASE-01664;VEH-000921;VEH-014525,,This file belongs to case CASE-01664. Case Descrip...
M4-DOC-CASE-00564-1,CASE-00564,CASE-00564,,This file belongs to case CASE-00564. Case Descrip...
M4-DOC-CASE-00564-2,CASE-00564,CASE-00564;PER-010131;PER-010137,,This file belongs to case CASE-00564. Case Descrip...
M4-DOC-CASE-00564-3,CASE-00564,ACC-006207;ACC-020250;CASE-00564;ORG-00371;ORG-00975;ORG-01358;ORG-02385;ORG-04936;PER-010131;PER-010137,1944f77a-c22b-4ec3-8127-d2054d24d24d;456f4ea0-bf86-416f-b668-9bf201def562;a76c8916-bcdd-47f7-940f-d6f3480b6467;cb053652-4031-463e-8c1f-b7e23a76a090;d8e64b4c-bad5-49b2-9726-bf081fbbfb00,This file belongs to case CASE-00564. Case Descrip...
M4-DOC-CASE-00564-4,CASE-00564,CASE-00564;DEV-000373;DEV-034332;ORG-00371;ORG-00975;ORG-01358;ORG-02385;ORG-04936;PER-010131;PER-010137,1944f77a-c22b-4ec3-8127-d2054d24d24d;456f4ea0-bf86-416f-b668-9bf201def562;a76c8916-bcdd-47f7-940f-d6f3480b6467;cb053652-4031-463e-8c1f-b7e23a76a090;d8e64b4c-bad5-49b2-9726-bf081fbbfb00,This file belongs to case CASE-00564. Case Descrip...
M4-DOC-CASE-00564-5,CASE-00564,CASE-00564;VEH-010131;VEH-011667,,This file belongs to case CASE-00564. Case Descrip...
M4-DOC-CASE-01209-1,CASE-01209,CASE-01209,,This file belongs to case CASE-01209. Case Descrip...
M4-DOC-CASE-01209-2,CASE-01209,CASE-01209;PER-021845;PER-021869,,This file belongs to case CASE-01209. Case Descrip...
M4-DOC-CASE-01209-3,CASE-01209,ACC-006224;ACC-029568;CASE-01209;ORG-00237;ORG-01590;ORG-02354;PER-021845;PER-021869,5484a73a-41b6-4aea-bd2d-661b5c193d47;8f081972-3d94-4d0b-b336-55557fbb83df;92239288-a2ab-48a3-b67b-62d754fcddea,This file belongs to case CASE-01209. Case Descrip...
M4-DOC-CASE-01209-4,CASE-01209,CASE-01209;DEV-004442;DEV-034754;ORG-00237;ORG-01590;ORG-02354;PER-021845;PER-021869,5484a73a-41b6-4aea-bd2d-661b5c193d47;8f081972-3d94-4d0b-b336-55557fbb83df;92239288-a2ab-48a3-b67b-62d754fcddea,This file belongs to case CASE-01209. Case Descrip...
M4-DOC-CASE-01209-5,CASE-01209,CASE-01209;VEH-006845;VEH-006869,,This file belongs to case CASE-01209. Case Descrip...
M4-DOC-CASE-01334-1,CASE-01334,CASE-01334,,This file belongs to case CASE-01334. Case Descrip...
M4-DOC-CASE-01334-2,CASE-01334,CASE-01334;PER-023945;PER-023957,,This file belongs to case CASE-01334. Case Descrip...
M4-DOC-CASE-01334-3,CASE-01334,ACC-000433;ACC-004080;CASE-01334;ORG-00201;ORG-02684;ORG-03446;ORG-04039;PER-023945;PER-023957,2cc93ad6-ddb4-461e-8ff9-77f4f875fb5d;31adedfa-5aab-4a53-8cc9-77b44db73382;a0b8e6bb-a67f-41ba-b2f6-fce176fe5380;b13883a3-d415-46e0-b0f8-bdd12732d8d8,This file belongs to case CASE-01334. Case Descrip...
M4-DOC-CASE-01334-4,CASE-01334,CASE-01334;DEV-009795;DEV-025839;ORG-00201;ORG-02684;ORG-03446;ORG-04039;PER-023945;PER-023957,2cc93ad6-ddb4-461e-8ff9-77f4f875fb5d;31adedfa-5aab-4a53-8cc9-77b44db73382;a0b8e6bb-a67f-41ba-b2f6-fce176fe5380;b13883a3-d415-46e0-b0f8-bdd12732d8d8,This file belongs to case CASE-01334. Case Descrip...
