location_id,location_type,address_or_label,city,state,country,latitude,longitude,cell_id,geometry_reference,synthetic_flag,data_origin,source_dataset,source_record_reference,confidence,scenario_id
LOC-000111,public,Synthetic commercial site 111,Ahmedabad,Gujarat,India,23.046183,72.572471,CELL-000111,SYN-GEO-000111,true,SYNTHETIC,,,MEDIUM,
LOC-000175,rural,Synthetic transit site 175,Mumbai,Maharashtra,India,19.091458,72.852575,CELL-000175,SYN-GEO-000175,true,SYNTHETIC,,,MEDIUM,
LOC-000287,office,Synthetic public site 287,Indore,Madhya Pradesh,India,22.662726,75.884911,CELL-000287,SYN-GEO-000287,true,SYNTHETIC,,,MEDIUM,
LOC-000572,rural,Synthetic warehouse site 572,Mumbai,Maharashtra,India,19.126806,72.848175,CELL-000572,SYN-GEO-000572,true,SYNTHETIC,,,MEDIUM,
LOC-000594,residential,Synthetic rural site 594,Mumbai,Maharashtra,India,19.110677,72.898966,CELL-000594,SYN-GEO-000594,true,SYNTHETIC,,,MEDIUM,
LOC-000712,transit,Synthetic residential site 712,Delhi,Delhi,India,28.597143,77.280023,CELL-000712,SYN-GEO-000712,true,SYNTHETIC,,,MEDIUM,
LOC-000732,warehouse,Synthetic commercial site 732,Hyderabad,Telangana,India,17.369527,78.445832,CELL-000732,SYN-GEO-000732,true,SYNTHETIC,,,MEDIUM,
LOC-000795,transit,Synthetic commercial site 795,Kolkata,West Bengal,India,22.595523,88.384938,CELL-000795,SYN-GEO-000795,true,SYNTHETIC,,,MEDIUM,
LOC-000811,transit,Synthetic residential site 811,Nagpur,Maharashtra,India,21.190391,79.092264,CELL-000811,SYN-GEO-000811,true,SYNTHETIC,,,MEDIUM,
LOC-000848,warehouse,Synthetic office site 848,Nashik,Maharashtra,India,20.040909,73.737955,CELL-000848,SYN-GEO-000848,true,SYNTHETIC,,,MEDIUM,
LOC-001105,residential,Synthetic technology site 1105,Nagpur,Maharashtra,India,21.207292,79.053961,CELL-001105,SYN-GEO-001105,true,SYNTHETIC,,,MEDIUM,
LOC-001251,warehouse,Synthetic rural site 1251,Delhi,Delhi,India,28.598122,77.26849,CELL-001251,SYN-GEO-001251,true,SYNTHETIC,,,MEDIUM,
LOC-001301,commercial,Synthetic warehouse site 1301,Nagpur,Maharashtra,India,21.153462,79.073813,CELL-001301,SYN-GEO-001301,true,SYNTHETIC,,,MEDIUM,
LOC-001352,residential,Synthetic office site 1352,Pune,Maharashtra,India,18.484731,73.854452,CELL-001352,SYN-GEO-001352,true,SYNTHETIC,,,MEDIUM,
LOC-001440,technology,Synthetic rural site 1440,Pune,Maharashtra,India,18.441124,73.936091,CELL-001440,SYN-GEO-001440,true,SYNTHETIC,,,MEDIUM,
LOC-001768,commercial,Synthetic transit site 1768,Ahmedabad,Gujarat,India,22.951493,72.627679,CELL-001768,SYN-GEO-001768,true,SYNTHETIC,,,MEDIUM,
LOC-001855,transit,Synthetic residential site 1855,Delhi,Delhi,India,28.638884,77.197717,CELL-001855,SYN-GEO-001855,true,SYNTHETIC,,,MEDIUM,
LOC-002251,financial,Synthetic residential site 2251,Mumbai,Maharashtra,India,19.006233,72.863472,CELL-002251,SYN-GEO-002251,true,SYNTHETIC,,,MEDIUM,
LOC-002374,technology,Synthetic technology site 2374,Mumbai,Maharashtra,India,19.096748,72.946566,CELL-002374,SYN-GEO-002374,true,SYNTHETIC,,,MEDIUM,
LOC-002382,technology,Synthetic financial site 2382,Nashik,Maharashtra,India,20.020719,73.828513,CELL-002382,SYN-GEO-002382,true,SYNTHETIC,,,MEDIUM,
LOC-002481,rural,Synthetic financial site 2481,Pune,Maharashtra,India,18.507217,73.850909,CELL-002481,SYN-GEO-002481,true,SYNTHETIC,,,MEDIUM,
LOC-002924,office,Synthetic public site 2924,Ahmedabad,Gujarat,India,23.06127,72.586434,CELL-002924,SYN-GEO-002924,true,SYNTHETIC,,,MEDIUM,
LOC-003069,warehouse,Synthetic rural site 3069,Indore,Madhya Pradesh,India,22.788517,75.802883,CELL-003069,SYN-GEO-003069,true,SYNTHETIC,,,MEDIUM,
LOC-003486,technology,Synthetic commercial site 3486,Nagpur,Maharashtra,India,21.091083,79.037367,CELL-003486,SYN-GEO-003486,true,SYNTHETIC,,,MEDIUM,
LOC-003490,commercial,Synthetic technology site 3490,Ahmedabad,Gujarat,India,23.039862,72.644015,CELL-003490,SYN-GEO-003490,true,SYNTHETIC,,,MEDIUM,
LOC-003563,warehouse,Synthetic public site 3563,Indore,Madhya Pradesh,India,22.725469,75.787949,CELL-003563,SYN-GEO-003563,true,SYNTHETIC,,,MEDIUM,
LOC-003606,commercial,Synthetic financial site 3606,Ahmedabad,Gujarat,India,22.966268,72.528332,CELL-003606,SYN-GEO-003606,true,SYNTHETIC,,,MEDIUM,
LOC-003644,financial,Synthetic public site 3644,Ahmedabad,Gujarat,India,23.021708,72.503373,CELL-003644,SYN-GEO-003644,true,SYNTHETIC,,,MEDIUM,
LOC-003668,public,Synthetic warehouse site 3668,Kolkata,West Bengal,India,22.576347,88.306993,CELL-003668,SYN-GEO-003668,true,SYNTHETIC,,,MEDIUM,
LOC-003691,rural,Synthetic residential site 3691,Nagpur,Maharashtra,India,21.202969,79.080906,CELL-003691,SYN-GEO-003691,true,SYNTHETIC,,,MEDIUM,
LOC-003767,residential,Synthetic warehouse site 3767,Hyderabad,Telangana,India,17.435509,78.462848,CELL-003767,SYN-GEO-003767,true,SYNTHETIC,,,MEDIUM,
LOC-004296,financial,Synthetic commercial site 4296,Delhi,Delhi,India,28.58931,77.168038,CELL-004296,SYN-GEO-004296,true,SYNTHETIC,,,MEDIUM,
LOC-004585,financial,Synthetic transit site 4585,Nagpur,Maharashtra,India,21.218614,79.167742,CELL-004585,SYN-GEO-004585,true,SYNTHETIC,,,MEDIUM,
LOC-004659,transit,Synthetic financial site 4659,Pune,Maharashtra,India,18.470196,73.870668,CELL-004659,SYN-GEO-004659,true,SYNTHETIC,,,MEDIUM,
LOC-004699,commercial,Synthetic residential site 4699,Nashik,Maharashtra,India,20.023413,73.722843,CELL-004699,SYN-GEO-004699,true,SYNTHETIC,,,MEDIUM,
LOC-004703,warehouse,Synthetic warehouse site 4703,Mumbai,Maharashtra,India,19.093881,72.899732,CELL-004703,SYN-GEO-004703,true,SYNTHETIC,,,MEDIUM,
LOC-004904,warehouse,Synthetic public site 4904,Delhi,Delhi,India,28.63628,77.277712,CELL-004904,SYN-GEO-004904,true,SYNTHETIC,,,MEDIUM,
LOC-004983,commercial,Synthetic financial site 4983,Ahmedabad,Gujarat,India,23.043587,72.620166,CELL-004983,SYN-GEO-004983,true,SYNTHETIC,,,MEDIUM,
LOC-004989,residential,Synthetic commercial site 4989,Ahmedabad,Gujarat,India,23.027227,72.647706,CELL-004989,SYN-GEO-004989,true,SYNTHETIC,,,MEDIUM,
LOC-005358,residential,Synthetic commercial site 5358,Mumbai,Maharashtra,India,19.135338,72.800577,CELL-005358,SYN-GEO-005358,true,SYNTHETIC,,,MEDIUM,
LOC-005394,public,Synthetic commercial site 5394,Indore,Madhya Pradesh,India,22.713744,75.814476,CELL-005394,SYN-GEO-005394,true,SYNTHETIC,,,MEDIUM,
LOC-005411,financial,Synthetic office site 5411,Hyderabad,Telangana,India,17.405851,78.541685,CELL-005411,SYN-GEO-005411,true,SYNTHETIC,,,MEDIUM,
LOC-005474,office,Synthetic office site 5474,Mumbai,Maharashtra,India,19.064533,72.888921,CELL-005474,SYN-GEO-005474,true,SYNTHETIC,,,MEDIUM,
LOC-005579,office,Synthetic public site 5579,Ahmedabad,Gujarat,India,23.067988,72.53084,CELL-005579,SYN-GEO-005579,true,SYNTHETIC,,,MEDIUM,
LOC-005692,rural,Synthetic transit site 5692,Hyderabad,Telangana,India,17.376938,78.468763,CELL-005692,SYN-GEO-005692,true,SYNTHETIC,,,MEDIUM,
LOC-005763,public,Synthetic commercial site 5763,Nagpur,Maharashtra,India,21.209311,79.021691,CELL-005763,SYN-GEO-005763,true,SYNTHETIC,,,MEDIUM,
LOC-005881,warehouse,Synthetic transit site 5881,Mumbai,Maharashtra,India,19.130451,72.828372,CELL-005881,SYN-GEO-005881,true,SYNTHETIC,,,MEDIUM,
LOC-006012,public,Synthetic rural site 6012,Delhi,Delhi,India,28.535231,77.253037,CELL-006012,SYN-GEO-006012,true,SYNTHETIC,,,MEDIUM,
